snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
23.9904,58.7643,0.21580,12.54430,14.92715,0
41.2364,101.0082,2.75046,28.53281,33.62441,0
15.1005,36.9885,0.10594,9.11564,11.35210,0
25.0789,61.4305,0.17422,17.69902,19.53554,0
40.6283,99.5187,10.08081,21.91276,26.68385,0
46.4552,113.7915,3.34877,18.44370,23.28304,0
22.0171,53.9308,0.01402,10.39431,12.77414,0
16.8725,41.3291,32.52952,16.04380,18.48314,0
31.0972,76.1722,13.56039,22.80878,29.29989,0
27.6612,67.7558,41.42608,31.11102,34.86609,0
22.5780,55.3045,0.72032,14.30595,16.16017,0
48.3917,118.5351,3.17987,10.88816,12.41082,0
12.0691,29.5631,0.05569,6.03333,6.80818,0
11.8352,28.9901,3.77474,10.43687,11.38576,0
20.0334,49.0715,0.21211,7.93626,8.36954,0
19.9540,48.8771,1.35927,13.95732,17.38584,0
22.0069,53.9057,0.02571,13.44939,17.52462,0
35.2816,86.4218,0.52797,11.22976,13.19522,0
17.1075,41.9047,0.16989,5.22428,6.14390,0
11.5209,28.2204,0.36051,3.06910,2.68242,0
24.7583,60.6451,0.01955,19.16140,22.07306,0
29.2920,71.7504,11.45155,26.03603,30.94118,0
28.1053,68.8437,0.77217,8.86665,9.50040,0
19.0407,46.6400,1.94208,9.88012,11.41499,0
25.5941,62.6925,16.76336,11.08491,13.33836,0
27.0535,66.2673,0.80648,18.65276,22.09069,0
11.2498,27.5564,8.28766,7.54246,9.51695,0
22.8192,55.8953,2.67933,16.18463,17.54019,0
24.6806,60.4549,3.67184,7.43284,9.54146,0
33.8789,82.9859,0.29577,19.20852,21.79315,0
10.6874,26.1787,3.62827,5.93088,6.66630,0
22.5068,55.1302,0.73899,14.71889,16.71953,0
12.5346,30.7034,0.01106,6.65945,7.39206,0
34.2072,83.7901,1.99178,17.46998,21.32626,0
29.7316,72.8272,0.00018,23.52626,29.69626,0
29.1662,71.4423,0.18704,17.12418,21.35529,0
28.4821,69.7666,0.12282,9.95678,12.58615,0
33.2702,81.4950,0.71404,15.14832,16.24039,0
15.3860,37.6879,0.00006,5.73899,5.55113,0
27.9112,68.3682,0.01399,20.47525,25.15417,0
27.3918,67.0960,3.11218,22.82723,25.46673,0
14.2794,34.9772,2.13653,10.59063,13.16493,0
29.6819,72.7055,0.40763,21.24633,23.76786,0
23.5222,57.6174,3.62016,20.31653,23.43145,0
20.7275,50.7717,16.74325,15.57618,18.38125,0
31.7841,77.8548,0.21607,14.08453,14.75873,0
37.6327,92.1809,1.72287,20.10574,22.19778,0
37.0964,90.8672,0.58306,21.39482,23.52023,0
33.5497,82.1797,0.04114,20.40502,25.94723,0
24.8339,60.8304,5.98369,16.54304,19.63439,0
27.9565,68.4792,0.24778,18.28342,20.51368,0
28.9299,70.8635,0.21299,12.85072,16.09468,0
20.7553,50.8400,10.82436,18.58077,21.25417,0
19.7917,48.4795,2.70705,10.96994,11.89798,0
36.4344,89.2458,0.10383,19.45581,23.05618,0
36.2206,88.7220,1.80828,18.99333,24.06807,0
17.7206,43.4064,0.07989,13.82655,15.32305,0
42.8540,104.9705,7.93750,24.28497,28.11121,0
25.6291,62.7783,1.33847,14.49487,19.15908,0
22.3635,54.7793,1.81231,20.24225,23.17808,0
13.0185,31.8886,0.00209,6.35437,7.31423,0
37.9062,92.8510,9.75568,20.25447,24.19261,0
22.9339,56.1764,0.00071,15.51162,17.48632,0
19.9920,48.9702,0.76778,13.84989,15.93211,0
23.2303,56.9023,0.60259,18.35766,22.76277,0
33.2063,81.3384,0.47695,20.70273,23.95273,0
24.8582,60.8899,1.60784,19.11882,24.24545,0
41.3150,101.2006,0.42354,15.10091,18.35315,0
34.6003,84.7531,0.00762,17.21494,18.39224,0
25.7816,63.1517,6.25709,17.52586,20.44754,0
26.7405,65.5006,1.23378,23.83708,29.09089,0
16.1541,39.5694,3.23823,13.54522,15.26494,0
22.3050,54.6358,0.16622,13.97664,17.22172,0
29.5201,72.3093,1.57178,13.85797,17.82033,0
26.7389,65.4966,15.47312,23.22905,30.01839,0
34.0124,83.3129,2.77334,20.53329,24.80333,0
40.1482,98.3427,3.10007,12.96112,14.74633,0
24.9643,61.1498,0.09901,14.86622,16.49664,0
20.8042,50.9598,5.87513,15.59482,18.08484,0
19.5734,47.9448,0.36544,10.64807,12.68468,0
36.9060,90.4009,0.06732,21.43741,27.35366,0
22.5301,55.1872,1.24160,18.79129,22.53505,0
22.4971,55.1065,0.03826,15.07468,16.93488,0
22.0958,54.1234,0.70443,15.01683,17.64280,0
26.3599,64.5683,0.92566,19.47238,21.31889,0
46.5614,114.0518,1.51360,13.12152,13.62647,0
30.1125,73.7603,0.34175,18.08199,25.41052,0
8.6704,21.2380,0.00001,3.33164,2.78158,0
33.1726,81.2559,1.61527,14.40056,16.78712,0
38.9184,95.3301,0.98345,27.98224,34.71324,0
19.2628,47.1840,0.00052,14.74529,16.66756,0
13.4377,32.9155,0.24965,10.94560,12.01393,0
30.6430,75.0596,1.53109,15.31965,17.49744,0
15.3235,37.5347,8.50922,10.96916,11.55625,0
33.8059,82.8072,1.76402,24.02553,29.00321,0
31.2445,76.5331,0.08274,22.35118,24.89954,0
40.8199,99.9880,0.04425,25.17490,33.28130,0
31.3911,76.8921,67.02275,33.67171,39.25503,0
27.5048,67.3727,0.01054,11.50479,15.92095,0
35.0262,85.7963,1.62777,29.97120,32.59802,0
36.1764,88.6137,2.57754,27.24654,33.10047,0
19.1556,46.9215,1.22615,18.58616,20.28313,0
18.0901,44.3115,0.13645,7.12722,7.25181,0
33.5055,82.0715,2.37959,16.97272,19.70252,0
28.5821,70.0115,0.26647,12.36596,14.31995,0
24.8707,60.9206,18.72656,16.97550,20.52159,0
